index,transcript,protein,probability
1914,ENST00000338883,Q6ZN16,0.7297
1915,ENST00000370181,Q64568,0.7298
1916,ENST00000539670,Q9C0K7,0.7298
1917,ENST00000400246,O75140,0.7298
1918,ENST00000324458,Q2KHT4,0.7299
1919,ENST00000476108,Q9H6P5,0.7299
1920,ENST00000450619,A4D1E9,0.73
1921,ENST00000539145,O15553,0.73
1922,ENST00000338791,P20839,0.7301
1923,ENST00000400230,Q6XPS3,0.7301
1924,ENST00000586195,O95834,0.7301
1925,ENST00000542353,Q8WTT0,0.7301
1926,ENST00000520542,Q8TAX9,0.7301
1927,ENST00000498286,Q5RB71,0.7301
1928,ENST00000542394,Q8NG08,0.7302
1929,ENST00000523419,Q8WWZ4,0.7302
1930,ENST00000222382,Q9HB55,0.7303
1931,ENST00000345167,P32298,0.7303
1932,ENST00000352189,Q9HCX4,0.7304
1933,ENST00000361547,Q9NZV5,0.7304
1934,ENST00000360823,Q9HCF6,0.7304
1935,ENST00000377551,Q9P2S2,0.7304
1936,ENST00000334744,Q8N945,0.7304
1937,ENST00000416223,Q76IQ3,0.7305
1938,ENST00000453994,Q9HCC8,0.7305
1939,ENST00000335750,Q9Y4C0,0.7305
1940,ENST00000357236,Q9NVP4,0.7305
1941,ENST00000556189,Q9H7Z3,0.7305
1942,ENST00000284995,Q8NCE0,0.7306
1943,ENST00000372169,Q7Z333,0.7306
1944,ENST00000306481,Q8N960,0.7306
1945,ENST00000545417,P61132,0.7306
1946,ENST00000351659,O08839,0.7307
1947,ENST00000555784,P56975,0.7307
1948,ENST00000585889,P48546,0.7307
1949,ENST00000361521,O00154,0.7307
1950,ENST00000355254,Q5IS37,0.7308
1951,ENST00000378843,Q9EQW7,0.7308
1952,ENST00000307518,Q9GZV1,0.7309
1953,ENST00000352189,Q9HCX4,0.7309
1954,ENST00000577730,P55286,0.7309
1955,ENST00000293273,Q8NG50,0.7309
1956,ENST00000275223,Q9NY84,0.7309
1957,ENST00000553273,Q6AXZ3,0.731
1958,ENST00000277475,Q7L4E1,0.7311
1959,ENST00000380712,Q861X8,0.7311
1960,ENST00000439951,Q9H1P3,0.7311
1961,ENST00000482630,P49151,0.7311
1962,ENST00000547306,P54619,0.7311
1963,ENST00000484181,P79384,0.7311
1964,ENST00000397358,Q6NT76,0.7312
1965,ENST00000336830,Q6BAA4,0.7312
1966,ENST00000456595,O75648,0.7312
1967,ENST00000521080,Q69YN4,0.7313
1968,ENST00000589039,Q92947,0.7313
1969,ENST00000422024,Q8WXI3,0.7313
1970,ENST00000450471,Q96Q40,0.7314
1971,ENST00000451904,Q15166,0.7314
1972,ENST00000367396,Q6P3S1,0.7315
1973,ENST00000421544,Q91755,0.7316
1974,ENST00000558164,O95267,0.7317
1975,ENST00000397049,P36639,0.7317
1976,ENST00000404971,Q9ULB1,0.7317
1977,ENST00000543898,P08183,0.7317
1978,ENST00000352409,Q7Z407,0.7317
1979,ENST00000540270,Q86YW0,0.7318
1980,ENST00000375844,Q56UN5,0.7318
1981,ENST00000443170,Q8TCX1,0.7318
1982,ENST00000420973,Q9H2X0,0.7318
1983,ENST00000490834,Q9NSA0,0.7318
1984,ENST00000529432,Q3KR37,0.7319
1985,ENST00000347598,Q13936,0.7319
1986,ENST00000431008,P10636,0.732
1987,ENST00000490814,Q3UQU0,0.732
1988,ENST00000600022,Q14653,0.732
1989,ENST00000225609,Q9Y2B2,0.732
1990,ENST00000360410,Q8IYB7,0.732
1991,ENST00000368125,Q8N126,0.732
1992,ENST00000482630,P49151,0.732
1993,ENST00000416504,Q8N0X4,0.7321
1994,ENST00000393229,Q96CW9,0.7321
1995,ENST00000336643,Q9NUM3,0.7322
1996,ENST00000560611,Q9UHW9,0.7322
1997,ENST00000374872,O43307,0.7322
1998,ENST00000548048,Q96LP6,0.7323
1999,ENST00000536134,Q08AH3,0.7323
2000,ENST00000539125,P49961,0.7323
2001,ENST00000530785,Q9NS15,0.7324
2002,ENST00000349607,Q99102,0.7324
2003,ENST00000592272,Q9HCE0,0.7324
2004,ENST00000461761,Q8N4H0,0.7324
2005,ENST00000377974,Q674R7,0.7325
2006,ENST00000287202,Q96J87,0.7325
2007,ENST00000556220,P54252,0.7325
2008,ENST00000538354,O75386,0.7326
2009,ENST00000373201,O14522,0.7326
2010,ENST00000348262,P16471,0.7327
2011,ENST00000286445,Q9Y3R0,0.7327
2012,ENST00000563910,Q8WWG1,0.7327
2013,ENST00000528789,Q6WN34,0.7327
2014,ENST00000528977,Q9UQQ1,0.7328
2015,ENST00000358591,Q86YJ6,0.7328
2016,ENST00000432318,P15509,0.7328
2017,ENST00000264344,O94988,0.7328
2018,ENST00000416277,Q502W6,0.7328
2019,ENST00000525284,Q38SD2,0.7329
2020,ENST00000534123,Q9P1Z9,0.7329
2021,ENST00000541594,Q96A25,0.7329
2022,ENST00000357096,Q9UKU0,0.7329
2023,ENST00000262059,Q9P1Z2,0.733
2024,ENST00000533102,Q86YD3,0.733
2025,ENST00000381908,Q13241,0.733
2026,ENST00000560389,Q5R5A0,0.733
2027,ENST00000380714,Q99217,0.7331
2028,ENST00000523857,Q6ZUA9,0.7331
2029,ENST00000563189,Q1X8D7,0.7332
2030,ENST00000379980,Q61879,0.7332
2031,ENST00000461761,Q8N4H0,0.7332
2032,ENST00000394069,P43166,0.7333
2033,ENST00000437316,P05538,0.7333
2034,ENST00000529504,Q96J65,0.7333
2035,ENST00000520759,Q5R414,0.7334
2036,ENST00000476419,Q66H20,0.7334
2037,ENST00000543711,Q5R8Y5,0.7334
2038,ENST00000538295,P78539,0.7335
2039,ENST00000539145,O15553,0.7335
2040,ENST00000528038,Q3YBM2,0.7335
2041,ENST00000404103,O60941,0.7336
2042,ENST00000545257,Q9NQB0,0.7336
2043,ENST00000461105,Q9NS61,0.7337
2044,ENST00000448542,Q96J65,0.7337
2045,ENST00000505911,Q8WWU5,0.7337
2046,ENST00000410059,Q6Q629,0.7337
2047,ENST00000585893,Q92800,0.7338
2048,ENST00000241891,Q9UHM6,0.7338
2049,ENST00000356696,Q04609,0.7339
2050,ENST00000396095,Q6W5P4,0.7339
2051,ENST00000497689,Q5TAH2,0.7339
2052,ENST00000366731,Q7Z7F7,0.7339
2053,ENST00000222382,Q9HB55,0.7339
2054,ENST00000567723,Q1X8D7,0.7339
2055,ENST00000368913,Q9H3T2,0.734
2056,ENST00000316853,Q8TBB5,0.734
2057,ENST00000505320,Q8TC71,0.734
2058,ENST00000355369,Q9UQQ1,0.734
2059,ENST00000494724,Q96P31,0.7341
2060,ENST00000545503,Q00872,0.7341
2061,ENST00000359791,Q6W5P4,0.7341
2062,ENST00000326197,Q96GD3,0.7341
2063,ENST00000540756,P53804,0.7341
2064,ENST00000236040,Q32P28,0.7341
2065,ENST00000538005,Q27958,0.7341
2066,ENST00000521624,Q9ULV5,0.7342
2067,ENST00000504758,Q8WWU5,0.7343
2068,ENST00000397174,Q96GD3,0.7343
2069,ENST00000442647,P10242,0.7343
2070,ENST00000344698,A6NKB5,0.7344
2071,ENST00000361509,Q9P2J2,0.7344
2072,ENST00000346520,Q9HBA0,0.7344
2073,ENST00000565443,Q5RDU4,0.7344
2074,ENST00000240361,Q8IWB6,0.7344
2075,ENST00000256993,P56741,0.7344
2076,ENST00000563786,A5A6K3,0.7345
2077,ENST00000521583,Q9D8X5,0.7345
2078,ENST00000570511,O15553,0.7345
2079,ENST00000438132,Q5R8N4,0.7345
2080,ENST00000419464,Q70E73,0.7346
2081,ENST00000359009,Q9Y2G2,0.7346
2082,ENST00000421100,Q9Y493,0.7346
2083,ENST00000520317,P13232,0.7347
2084,ENST00000508967,Q8N4F7,0.7347
2085,ENST00000490581,Q96JG8,0.7347
2086,ENST00000378880,Q5RDI1,0.7347
2087,ENST00000393447,Q2PG42,0.7348
2088,ENST00000502848,A2T7D9,0.7348
2089,ENST00000418114,Q70E73,0.7348
2090,ENST00000442691,A2T7D9,0.7349
2091,ENST00000415744,Q8NA31,0.7349
2092,ENST00000381166,O95428,0.735
2093,ENST00000338835,O76036,0.735
2094,ENST00000535141,Q5RA78,0.735
2095,ENST00000275159,Q96NH3,0.7351
2096,ENST00000520671,Q9D8X5,0.7351
2097,ENST00000331105,P24903,0.7352
2098,ENST00000381584,Q8R5C8,0.7352
2099,ENST00000421674,Q6P5H6,0.7352
2100,ENST00000338898,Q92834,0.7352
2101,ENST00000532352,Q04609,0.7352
2102,ENST00000419464,Q70E73,0.7352
2103,ENST00000399208,Q9NVD3,0.7352
2104,ENST00000568579,Q8WWX8,0.7353
2105,ENST00000456047,P81605,0.7353
2106,ENST00000429174,O75923,0.7354
2107,ENST00000216271,Q969S8,0.7354
2108,ENST00000440923,Q5RDQ8,0.7354
2109,ENST00000440709,Q92523,0.7354
2110,ENST00000374000,Q9BVI0,0.7354
2111,ENST00000339290,P10242,0.7354
2112,ENST00000383779,Q9UJ83,0.7354
2113,ENST00000356972,Q6IE38,0.7355
2114,ENST00000435660,Q6NXT4,0.7355
2115,ENST00000392719,Q9HBA0,0.7355
2116,ENST00000545074,Q5R490,0.7355
2117,ENST00000413091,Q9UKS7,0.7355
2118,ENST00000351291,Q8N7N1,0.7355
2119,ENST00000523873,P15692,0.7356
2120,ENST00000420290,Q6ICL3,0.7356
2121,ENST00000592489,Q8NG50,0.7356
2122,ENST00000316299,P54619,0.7356
2123,ENST00000311946,Q0D2K0,0.7357
2124,ENST00000377940,Q6X784,0.7357
2125,ENST00000452451,P30203,0.7358
2126,ENST00000444297,Q9HBH5,0.7358
2127,ENST00000510678,Q5RD26,0.7358
2128,ENST00000356483,Q07812,0.7359
2129,ENST00000574951,O94983,0.7359
2130,ENST00000492072,Q9UI42,0.7359
2131,ENST00000555827,Q96I15,0.7359
2132,ENST00000598744,Q9HCX3,0.7359
2133,ENST00000440111,Q92574,0.736
2134,ENST00000315576,Q9UHX3,0.736
2135,ENST00000451750,Q9HCS2,0.736
2136,ENST00000543458,Q969N2,0.736
2137,ENST00000536838,Q9HBA0,0.736
2138,ENST00000358544,Q7Z7G8,0.736
2139,ENST00000367057,P20023,0.7361
2140,ENST00000411936,Q9C0D2,0.7361
2141,ENST00000467331,Q7Z2E3,0.7361
2142,ENST00000518578,Q6ZN16,0.7361
2143,ENST00000482630,P49151,0.7361
2144,ENST00000378288,O15350,0.7362
2145,ENST00000360698,A6BM72,0.7362
2146,ENST00000526129,P11310,0.7362
2147,ENST00000380230,Q495B1,0.7362
2148,ENST00000494737,Q6UXS9,0.7362
2149,ENST00000431540,P55290,0.7363
2150,ENST00000431520,Q9UKS7,0.7363
2151,ENST00000406824,Q96T66,0.7363
2152,ENST00000507336,O43497,0.7363
2153,ENST00000409651,O75923,0.7363
2154,ENST00000366633,Q9NRI5,0.7363
2155,ENST00000428433,Q02962,0.7363
2156,ENST00000551994,Q9HBM0,0.7363
2157,ENST00000375267,Q5T4S7,0.7364
2158,ENST00000368633,Q53ET0,0.7364
2159,ENST00000473151,Q15147,0.7364
2160,ENST00000312017,Q9HB55,0.7365
2161,ENST00000544132,Q14155,0.7365
2162,ENST00000294854,A5PLK6,0.7365
2163,ENST00000486995,Q8WV60,0.7366
2164,ENST00000263519,Q16720,0.7366
2165,ENST00000303728,O14603,0.7366
2166,ENST00000264452,Q9Z142,0.7366
2167,ENST00000398564,O15013,0.7367
2168,ENST00000367153,Q68G75,0.7367
2169,ENST00000269190,Q9Y4J8,0.7367
2170,ENST00000423644,Q9BY07,0.7367
2171,ENST00000518824,P49151,0.7367
2172,ENST00000602047,Q4G0U5,0.7368
2173,ENST00000536880,P07864,0.7368
2174,ENST00000389506,Q03164,0.7368
2175,ENST00000480174,Q6ZT98,0.7368
2176,ENST00000367396,Q6P3S1,0.7369
2177,ENST00000421544,Q91755,0.7369
2178,ENST00000563874,Q13286,0.737
2179,ENST00000448861,Q99102,0.737
2180,ENST00000312017,Q9HB55,0.737
2181,ENST00000446921,Q9Y2K2,0.737
2182,ENST00000396673,Q9BYT3,0.7371
2183,ENST00000558768,Q7Z4N2,0.7371
2184,ENST00000565733,Q9BUV0,0.7371
2185,ENST00000511676,A2T7D9,0.7372
2186,ENST00000580219,Q9Y5W9,0.7372
2187,ENST00000336916,P02751,0.7372
2188,ENST00000536691,Q96P15,0.7372
2189,ENST00000291700,Q6YNR6,0.7373
2190,ENST00000526814,P10632,0.7373
2191,ENST00000522526,Q8IZ02,0.7373
2192,ENST00000506928,Q9UBT6,0.7374
2193,ENST00000466046,Q8NAC3,0.7374
2194,ENST00000423994,Q9NY47,0.7374
2195,ENST00000371247,Q9BX66,0.7374
2196,ENST00000446312,Q7YR43,0.7374
2197,ENST00000391723,P24071,0.7375
2198,ENST00000316367,P43353,0.7375
2199,ENST00000491009,Q8N1F1,0.7375
2200,ENST00000479259,Q6PD03,0.7375
2201,ENST00000338883,Q6ZN16,0.7375
2202,ENST00000349953,Q8TEW8,0.7376
2203,ENST00000559858,P37275,0.7376
2204,ENST00000381209,Q86UA6,0.7376
2205,ENST00000523241,Q02650,0.7376
2206,ENST00000391742,Q6GTX8,0.7377
2207,ENST00000368106,Q6DN72,0.7377
2208,ENST00000342571,Q58D94,0.7377
2209,ENST00000420973,Q9H2X0,0.7377
2210,ENST00000590884,Q9HCE0,0.7377
2211,ENST00000405123,Q96DZ1,0.7378
2212,ENST00000361510,O60313,0.7379
2213,ENST00000428265,Q6UW02,0.7379
2214,ENST00000426706,P16109,0.7379
2215,ENST00000357895,Q5RBF2,0.7379
2216,ENST00000361474,O14511,0.7379
2217,ENST00000378272,Q9BY08,0.738
2218,ENST00000520757,Q330K2,0.738
2219,ENST00000544879,Q86X67,0.7381
2220,ENST00000509351,Q9NY84,0.7381
2221,ENST00000557724,Q9P0W8,0.7381
2222,ENST00000367071,Q6YNR6,0.7382
2223,ENST00000432298,Q2PG42,0.7382
2224,ENST00000366738,Q7Z7F7,0.7382
2225,ENST00000571139,Q8NET8,0.7382
2226,ENST00000389336,P35400,0.7382
2227,ENST00000436661,Q8IWT0,0.7382
2228,ENST00000449750,Q9NR90,0.7383
2229,ENST00000541030,Q7RTU9,0.7383
2230,ENST00000420054,Q6IPT4,0.7384
2231,ENST00000527372,Q92614,0.7384
2232,ENST00000458292,Q8NFW9,0.7384
2233,ENST00000434009,Q61493,0.7384
2234,ENST00000523950,P49151,0.7384
2235,ENST00000271064,Q9GZM7,0.7385
2236,ENST00000428120,Q6NZ36,0.7385
2237,ENST00000448023,Q7RTR2,0.7385
2238,ENST00000355438,Q96P56,0.7385
2239,ENST00000355438,Q96P56,0.7385
2240,ENST00000559742,O60658,0.7385
2241,ENST00000395645,A0PJK1,0.7386
2242,ENST00000357822,Q9BY07,0.7387
2243,ENST00000475529,Q8NB25,0.7387
2244,ENST00000464889,Q5RA89,0.7387
2245,ENST00000394125,Q7Z6M1,0.7388
2246,ENST00000565316,Q13286,0.7388
2247,ENST00000353437,P63138,0.7388
2248,ENST00000374859,P28065,0.7389
2249,ENST00000399205,Q9NVD3,0.7389
2250,ENST00000398547,Q5R7Y0,0.7389
2251,ENST00000574832,Q9HA64,0.739
2252,ENST00000418048,Q99062,0.739
2253,ENST00000588492,Q60HD1,0.739
2254,ENST00000492555,Q9H857,0.739
2255,ENST00000528989,Q86YD5,0.739
2256,ENST00000403298,P19484,0.7391
2257,ENST00000395397,Q13133,0.7391
2258,ENST00000357822,Q9BY07,0.7391
2259,ENST00000358522,P56974,0.7391
2260,ENST00000316515,Q8IZ02,0.7391
2261,ENST00000371949,Q9BUB5,0.7392
2262,ENST00000534276,Q6WN34,0.7392
2263,ENST00000359785,Q9Y2R2,0.7392
2264,ENST00000545417,P61132,0.7392
2265,ENST00000372585,Q9Y694,0.7392
2266,ENST00000486706,Q19AV6,0.7392
2267,ENST00000535777,Q5R563,0.7392
2268,ENST00000503436,O54898,0.7392
2269,ENST00000525919,Q7Z589,0.7393
2270,ENST00000450619,A4D1E9,0.7393
2271,ENST00000571153,P04278,0.7393
2272,ENST00000565316,Q13286,0.7394
2273,ENST00000555576,P09652,0.7394
2274,ENST00000527070,Q9HC29,0.7395
2275,ENST00000419037,Q3UTZ3,0.7395
2276,ENST00000156476,Q9UKR3,0.7395
2277,ENST00000422377,Q61493,0.7395
2278,ENST00000448542,Q96J65,0.7396
2279,ENST00000468167,Q8IZX4,0.7396
2280,ENST00000454803,Q9Y2C4,0.7396
2281,ENST00000558259,Q99767,0.7396
2282,ENST00000436783,Q5R563,0.7396
2283,ENST00000468288,Q5REH1,0.7397
2284,ENST00000401046,Q6IPT4,0.7397
2285,ENST00000548455,Q5RFL7,0.7397
2286,ENST00000557224,Q9BZS1,0.7398
2287,ENST00000493645,Q460N3,0.7398
2288,ENST00000590193,Q6ZW76,0.7398
2289,ENST00000510722,P17301,0.7399
2290,ENST00000578457,Q8WYR1,0.7399
2291,ENST00000391773,P59046,0.7399
2292,ENST00000486895,O43261,0.7399
2293,ENST00000565316,Q13286,0.7399
2294,ENST00000375547,P22891,0.7399
2295,ENST00000341723,A8MVW5,0.74
2296,ENST00000535777,Q5R563,0.74
2297,ENST00000457188,Q8IZ96,0.74
2298,ENST00000368186,Q96P31,0.7401
2299,ENST00000489099,Q13352,0.7401
2300,ENST00000415955,P15336,0.7401
2301,ENST00000361812,P61132,0.7401
2302,ENST00000586017,Q9Y2X0,0.7402
2303,ENST00000591420,Q8NG50,0.7402
2304,ENST00000523419,Q8WWZ4,0.7402
2305,ENST00000357009,P02751,0.7403
2306,ENST00000397647,Q06710,0.7403
2307,ENST00000452268,Q3KR73,0.7403
2308,ENST00000413091,Q9UKS7,0.7404
2309,ENST00000342960,Q5TAG4,0.7404
2310,ENST00000412570,Q9NXE4,0.7404
2311,ENST00000531751,Q96ER3,0.7404
2312,ENST00000504751,Q5RCG0,0.7404
2313,ENST00000454468,Q9NXE4,0.7404
2314,ENST00000380586,P35348,0.7405
2315,ENST00000559237,Q6N043,0.7405
2316,ENST00000510722,P17301,0.7405
2317,ENST00000371270,P10632,0.7405
2318,ENST00000448553,A6NH21,0.7406
2319,ENST00000408911,P62510,0.7406
2320,ENST00000424442,P59999,0.7406
2321,ENST00000373542,P46020,0.7407
2322,ENST00000540948,P80188,0.7407
2323,ENST00000230529,O95389,0.7407
2324,ENST00000577353,Q76LL8,0.7407
2325,ENST00000335858,O75771,0.7407
2326,ENST00000406316,Q9ULB1,0.7407
2327,ENST00000369839,Q15542,0.7408
2328,ENST00000215659,P53778,0.7408
2329,ENST00000399951,Q8VIJ8,0.7408
2330,ENST00000337415,P07202,0.7409
2331,ENST00000448638,Q502W6,0.7409
2332,ENST00000450598,O95267,0.741
2333,ENST00000295952,Q14BN4,0.741
2334,ENST00000588377,Q96H55,0.7412
2335,ENST00000426706,P16109,0.7412
2336,ENST00000382306,Q9NR90,0.7412
2337,ENST00000382306,Q9NR90,0.7412
2338,ENST00000382306,Q9NR90,0.7412
2339,ENST00000397241,Q9Y4R7,0.7412
2340,ENST00000360698,A6BM72,0.7413
2341,ENST00000534940,O95671,0.7413
2342,ENST00000420433,Q9BPY8,0.7413
2343,ENST00000486081,Q5RFB0,0.7413
2344,ENST00000244302,Q9Y2N7,0.7414
2345,ENST00000418114,Q70E73,0.7414
2346,ENST00000406316,Q9ULB1,0.7414
2347,ENST00000522579,Q7M317,0.7414
2348,ENST00000239440,Q8WWN8,0.7415
2349,ENST00000396292,Q9HCF6,0.7415
2350,ENST00000373201,O14522,0.7415
2351,ENST00000536730,Q9HCC8,0.7415
2352,ENST00000378113,Q96LP6,0.7415
2353,ENST00000523222,Q5RFN3,0.7416
2354,ENST00000435379,Q86YW0,0.7416
2355,ENST00000302509,P07911,0.7417
2356,ENST00000400366,P35670,0.7418
2357,ENST00000334414,P23467,0.7418
2358,ENST00000561651,Q9BVC4,0.7418
2359,ENST00000545385,P56974,0.7418
2360,ENST00000585454,Q60HD1,0.7418
2361,ENST00000464622,Q96NH3,0.7419
2362,ENST00000504933,P32298,0.7419
2363,ENST00000396138,P07911,0.7419
2364,ENST00000558067,Q6N043,0.742
2365,ENST00000421834,Q03001,0.742
2366,ENST00000261197,P61642,0.742
2367,ENST00000537238,Q8NB59,0.742
2368,ENST00000465444,Q96S52,0.7421
2369,ENST00000550386,Q9NWZ3,0.7421
2370,ENST00000397617,P23468,0.7421
2371,ENST00000373784,Q70YC4,0.7422
2372,ENST00000449750,Q9NR90,0.7422
2373,ENST00000449750,Q9NR90,0.7422
2374,ENST00000449750,Q9NR90,0.7422
2375,ENST00000523829,Q6P5X7,0.7422
2376,ENST00000335742,Q8WX93,0.7423
2377,ENST00000528471,Q6WN34,0.7423
2378,ENST00000370727,O95490,0.7423
2379,ENST00000358577,Q8TDZ2,0.7423
2380,ENST00000469658,Q96T75,0.7423
2381,ENST00000474771,O95069,0.7424
2382,ENST00000565687,Q9BVC4,0.7424
2383,ENST00000426706,P16109,0.7424
2384,ENST00000261201,O60706,0.7425
2385,ENST00000361221,Q9HCE6,0.7425
2386,ENST00000395446,Q96QU1,0.7425
2387,ENST00000470086,O35900,0.7425
2388,ENST00000370757,P43088,0.7426
2389,ENST00000355524,P24071,0.7427
2390,ENST00000395282,Q6MZP7,0.7427
2391,ENST00000508560,P48169,0.7427
2392,ENST00000437259,Q6X4W1,0.7427
2393,ENST00000457030,Q0ZGT2,0.7427
2394,ENST00000371946,Q9BUB5,0.7427
2395,ENST00000509351,Q9NY84,0.7427
2396,ENST00000372259,O43414,0.7427
2397,ENST00000395591,Q5R573,0.7427
2398,ENST00000529665,Q5VV63,0.7427
2399,ENST00000591943,Q13336,0.7429
2400,ENST00000506199,Q659C4,0.7429
2401,ENST00000483391,Q9BZP6,0.7429
2402,ENST00000546398,Q5RFL7,0.7429
2403,ENST00000344095,P49848,0.7431
2404,ENST00000495115,Q9HB55,0.7431
2405,ENST00000338947,Q9QUQ5,0.7431
2406,ENST00000558439,Q9UPM8,0.7432
2407,ENST00000409592,Q96BY6,0.7432
2408,ENST00000553379,Q9BPY8,0.7432
2409,ENST00000504676,P67829,0.7432
2410,ENST00000444905,Q9HB55,0.7433
2411,ENST00000378797,Q9H714,0.7433
2412,ENST00000466046,Q8NAC3,0.7434
2413,ENST00000552738,Q7Z3U7,0.7434
2414,ENST00000382431,Q9NR90,0.7435
2415,ENST00000382431,Q9NR90,0.7435
2416,ENST00000532587,Q6IA17,0.7435
2417,ENST00000478744,P22831,0.7435
2418,ENST00000381255,Q9BPY8,0.7435
2419,ENST00000566188,Q8NCC3,0.7435
2420,ENST00000421415,Q6IPT4,0.7436
2421,ENST00000351960,Q14980,0.7436
2422,ENST00000428650,A6NGW2,0.7436
2423,ENST00000377137,Q6NUI2,0.7437
2424,ENST00000361311,O94985,0.7437
2425,ENST00000395307,Q1ZYL8,0.7437
2426,ENST00000287840,Q02297,0.7437
2427,ENST00000378787,Q9H714,0.7437
2428,ENST00000428650,Q7RTU9,0.7437
2429,ENST00000393128,Q9Y6G3,0.7438
2430,ENST00000403601,Q8NAC3,0.7438
2431,ENST00000255858,Q9UDX3,0.7438
2432,ENST00000434659,Q9H7L2,0.7438
2433,ENST00000559881,Q5R678,0.7438
2434,ENST00000263519,Q16720,0.7439
2435,ENST00000584588,Q6X784,0.7439
2436,ENST00000465983,Q5RFL5,0.7439
2437,ENST00000509814,P17301,0.7439
2438,ENST00000502803,P61222,0.744
2439,ENST00000326165,Q8TDQ1,0.7441
2440,ENST00000381930,Q96PQ7,0.7441
2441,ENST00000521509,O35864,0.7441
2442,ENST00000406732,A4FU01,0.7441
2443,ENST00000349466,Q16720,0.7442
2444,ENST00000445499,Q9NTJ5,0.7442
2445,ENST00000356306,Q6QHF9,0.7442
2446,ENST00000369070,Q3MQ06,0.7442
2447,ENST00000524522,Q86YD3,0.7442
2448,ENST00000434676,O00429,0.7442
2449,ENST00000356331,P78314,0.7443
2450,ENST00000526275,O43826,0.7443
2451,ENST00000416383,A6NFE2,0.7444
2452,ENST00000427187,Q9NY84,0.7444
2453,ENST00000434163,Q9NS61,0.7444
2454,ENST00000372753,O95460,0.7444
2455,ENST00000254271,Q6ZRR7,0.7445
2456,ENST00000228264,Q96FC9,0.7446
2457,ENST00000570546,P33076,0.7446
2458,ENST00000545985,O43826,0.7446
2459,ENST00000368383,Q7Z4K8,0.7446
2460,ENST00000481600,Q3B7T1,0.7446
2461,ENST00000444905,Q9HB55,0.7447
2462,ENST00000382440,Q9NR90,0.7447
2463,ENST00000381208,Q86UA6,0.7447
2464,ENST00000444905,Q9HB55,0.7447
2465,ENST00000568085,P51168,0.7448
2466,ENST00000565316,Q13286,0.7448
2467,ENST00000379873,Q8IZP9,0.7448
2468,ENST00000379869,Q8IZP9,0.7448
2469,ENST00000534334,P11310,0.7449
2470,ENST00000402904,Q96GD3,0.7449
2471,ENST00000419823,Q6IPT4,0.7449
2472,ENST00000399102,P57054,0.745
2473,ENST00000407727,P49802,0.745
2474,ENST00000394634,P05156,0.745
2475,ENST00000299185,Q8N2C3,0.745
2476,ENST00000592988,Q63HM1,0.745
2477,ENST00000360796,Q96G97,0.7451
2478,ENST00000418781,Q5T6L9,0.7451
2479,ENST00000574788,P35125,0.7451
2480,ENST00000509351,Q9NY84,0.7451
2481,ENST00000399162,Q6ZVD7,0.7451
2482,ENST00000381580,Q9P1W8,0.7452
2483,ENST00000358053,Q9H1P3,0.7452
2484,ENST00000585130,Q9NPF8,0.7453
2485,ENST00000335698,Q5RBS9,0.7454
2486,ENST00000554592,O35815,0.7454
2487,ENST00000372163,Q9H1X1,0.7454
2488,ENST00000537238,Q8NB59,0.7454
2489,ENST00000503098,Q6UW88,0.7455
2490,ENST00000326197,Q96GD3,0.7455
2491,ENST00000383734,Q4R8B6,0.7455
2492,ENST00000348423,Q9Y210,0.7456
2493,ENST00000361828,O60313,0.7456
2494,ENST00000444651,Q6ICL3,0.7456
2495,ENST00000441265,P40692,0.7456
2496,ENST00000427067,Q13822,0.7456
2497,ENST00000523723,Q6P047,0.7456
2498,ENST00000414447,Q02548,0.7457
2499,ENST00000307588,Q8TBZ0,0.7457
2500,ENST00000465397,Q7Z7F7,0.7457
2501,ENST00000357796,E9PJ23,0.7457
2502,ENST00000552626,Q5RFL7,0.7457
2503,ENST00000545331,O75386,0.7458
2504,ENST00000339123,Q9NWM0,0.7458
2505,ENST00000525372,O43826,0.7458
2506,ENST00000504010,A2T7D9,0.7458
2507,ENST00000366937,P62510,0.7459
2508,ENST00000341640,O43316,0.7459
2509,ENST00000466143,Q14155,0.7459
2510,ENST00000561640,Q2PFZ0,0.7459
2511,ENST00000568195,Q02161,0.7459
2512,ENST00000368417,Q5VXU1,0.7459
2513,ENST00000369643,Q5R5C3,0.7459
2514,ENST00000495265,Q9H8M2,0.7459
2515,ENST00000458441,Q8NFW9,0.7459
2516,ENST00000449238,Q9UBU3,0.746
2517,ENST00000343878,Q7Z589,0.746
2518,ENST00000423649,Q5R563,0.746
2519,ENST00000372445,Q5JTD0,0.7461
2520,ENST00000552374,Q8NCL8,0.7461
2521,ENST00000455775,Q9BZS1,0.7461
2522,ENST00000510563,Q93038,0.7461
2523,ENST00000528789,Q6WN34,0.7462
2524,ENST00000417570,Q6ZS10,0.7462
2525,ENST00000591420,Q8NG50,0.7462
2526,ENST00000394713,Q96QE4,0.7462
2527,ENST00000547312,O00429,0.7462
2528,ENST00000343067,P11171,0.7462
2529,ENST00000421817,Q49MI3,0.7462
2530,ENST00000329319,P58557,0.7463
2531,ENST00000583737,Q9UHR5,0.7463
2532,ENST00000529966,Q8NB37,0.7463
2533,ENST00000523924,Q9P243,0.7463
2534,ENST00000478719,P08118,0.7464
2535,ENST00000415491,Q96DT0,0.7464
2536,ENST00000334806,Q9H2X3,0.7464
2537,ENST00000430495,Q3MIT2,0.7464
